,Type,Length,lonlat,id,tags.cables,tags.frequency,tags.power,tags.voltage,Country
0,Way,75008.77642631682,"[(-11.758883799999923, 9.39664999999994), (-11.760818099999923, 9.397192399999941), (-11.762314599999923, 9.398407699999941), (-11.764533999999923, 9.400225699999941), (-11.766931499999924, 9.400411499999942), (-11.771242999999924, 9.400697699999942), (-11.775620699999923, 9.401059299999941), (-11.777951999999923, 9.401144699999941), (-11.778308299999923, 9.399713399999941), (-11.779514699999922, 9.39530409999994), (-11.779865999999922, 9.39280819999994), (-11.780196799999922, 9.39046289999994), (-11.780660099999922, 9.387032799999941), (-11.783296799999922, 9.38435089999994), (-11.787022899999922, 9.38066959999994), (-11.789552799999923, 9.378098299999941), (-11.791543099999922, 9.37601899999994), (-11.793752299999921, 9.373889599999941), (-11.797422399999922, 9.370097699999942), (-11.798399799999922, 9.368209299999942), (-11.799830099999923, 9.365240999999942), (-11.800700599999923, 9.363407799999942), (-11.802395599999922, 9.359871999999942), (-11.804167099999923, 9.356039799999943), (-11.806111599999923, 9.351916199999943), (-11.810255099999923, 9.350459599999944), (-11.812372599999923, 9.349726299999944), (-11.816918299999923, 9.348129099999943), (-11.819458299999923, 9.347169799999943), (-11.824029399999922, 9.345497199999944), (-11.828412199999923, 9.343920099999943), (-11.831886299999923, 9.342671899999942), (-11.833522499999923, 9.340418299999943), (-11.834329599999922, 9.339306599999942), (-11.836065399999923, 9.336925799999943), (-11.838198299999922, 9.333841699999942), (-11.840819799999922, 9.330149899999942), (-11.843028999999921, 9.327050699999942), (-11.845757399999922, 9.323248299999943), (-11.846968799999923, 9.321590699999943), (-11.849501299999922, 9.318001699999943), (-11.851407399999921, 9.315277799999944), (-11.85341229999992, 9.312332199999943), (-11.855556699999921, 9.309413199999943), (-11.857673999999921, 9.306454199999942), (-11.859687999999922, 9.303659299999943), (-11.863234899999922, 9.304462299999942), (-11.865487199999922, 9.305012399999942), (-11.869308299999922, 9.305974999999941), (-11.873390199999921, 9.306959899999942), (-11.876006599999922, 9.307576499999943), (-11.879971599999923, 9.308565799999943), (-11.883325199999923, 9.309377699999944), (-11.887024999999923, 9.310269399999944), (-11.891461999999922, 9.311347399999944), (-11.895764199999922, 9.312398799999944), (-11.899454899999922, 9.313294899999944), (-11.903559299999921, 9.314292999999944), (-11.907650199999921, 9.315308899999945), (-11.910695599999922, 9.314945499999943), (-11.913449299999922, 9.314616899999944), (-11.917068199999921, 9.314230899999943), (-11.921661699999921, 9.313704199999943), (-11.926562599999922, 9.313126299999944), (-11.929205999999922, 9.312837899999943), (-11.933036099999923, 9.310264899999943), (-11.936562799999923, 9.307898199999944), (-11.939143199999922, 9.306194599999943), (-11.942263099999922, 9.304127299999942), (-11.945666099999922, 9.301789399999942), (-11.948682899999923, 9.299862699999943), (-11.949423999999922, 9.297026399999943), (-11.950108099999923, 9.294230299999944), (-11.951257499999922, 9.290090099999942), (-11.952457799999923, 9.285516099999942), (-11.953316399999924, 9.282366099999942), (-11.954350399999925, 9.278404199999942), (-11.955300999999926, 9.274934699999942), (-11.957439299999926, 9.271356599999942), (-11.959012899999927, 9.268756999999942), (-11.961416399999926, 9.264700999999942), (-11.962995699999926, 9.262038699999941), (-11.964315599999926, 9.25972909999994), (-11.963877499999926, 9.25745929999994), (-11.963007199999925, 9.253329199999941), (-11.962217599999926, 9.24971109999994), (-11.961318399999927, 9.24518269999994), (-11.960384699999928, 9.24094439999994), (-11.959756399999927, 9.23783819999994), (-11.960851499999928, 9.23359409999994), (-11.961664199999928, 9.23048779999994), (-11.962672899999928, 9.22665889999994), (-11.963525899999928, 9.22328519999994), (-11.963819899999928, 9.21948469999994), (-11.964021599999928, 9.21610519999994), (-11.964223399999927, 9.213254799999941), (-11.964422199999925, 9.209693099999942), (-11.964621099999928, 9.206131499999941), (-11.965485599999928, 9.203884099999941), (-11.966672999999927, 9.20055559999994), (-11.967549099999927, 9.19839359999994), (-11.965220499999926, 9.19474069999994), (-11.963064799999927, 9.19128129999994), (-11.960955299999927, 9.187895899999939), (-11.959208799999928, 9.18512489999994), (-11.958989799999928, 9.18186449999994), (-11.958678599999928, 9.177966899999939), (-11.958419199999929, 9.17432519999994), (-11.958102199999928, 9.17030799999994), (-11.957773599999928, 9.16583549999994), (-11.957508499999928, 9.16231319999994), (-11.957197299999928, 9.15810809999994), (-11.956851399999929, 9.153271199999939), (-11.95652859999993, 9.148946499999939), (-11.956303899999929, 9.14574269999994), (-11.956032999999929, 9.14280069999994), (-11.955750499999928, 9.13837329999994), (-11.957018599999929, 9.136301899999939), (-11.959963899999929, 9.131880199999939), (-11.962177199999928, 9.12938199999994), (-11.964713299999929, 9.12657069999994), (-11.967214799999928, 9.12416339999994), (-11.965462599999928, 9.12235939999994), (-11.963151299999927, 9.11990659999994), (-11.959586399999926, 9.116085099999939), (-11.956116499999926, 9.11242009999994), (-11.954554499999926, 9.11072979999994), (-11.951182699999926, 9.107195599999939), (-11.948022099999926, 9.103750499999938), (-11.945448499999927, 9.101029299999938), (-11.942096599999926, 9.097473799999939), (-11.940367999999927, 9.09564229999994), (-11.938187099999926, 9.093291499999939), (-11.935396199999925, 9.090317499999939), (-11.933229299999924, 9.08800019999994), (-11.931057699999936, 9.08572440000004), (-11.929082400000008, 9.083635499999971), (-11.924774100000008, 9.079079399999971), (-11.921935899999935, 9.076077900000039), (-11.914385999999935, 9.073317800000039), (-11.910691299999934, 9.071969500000039), (-11.907674799999935, 9.070781200000038), (-11.899116499999934, 9.067541100000039), (-11.895110799999934, 9.066056000000039), (-11.891214399999933, 9.064584400000038), (-11.889669499999933, 9.064435900000039), (-11.885062199999933, 9.06419290000004), (-11.881288899999932, 9.063990400000039), (-11.877023399999931, 9.063774400000039), (-11.87245709999993, 9.063423400000039), (-11.868109599999931, 9.06313980000004), (-11.86071809999993, 9.06275920000004), (-11.85826429999993, 9.06106830000004), (-11.85576999999993, 9.05923090000004), (-11.85200829999993, 9.05651470000004), (-11.848691599999931, 9.05405150000004), (-11.845709999999931, 9.05193340000004), (-11.839362699999931, 9.04739110000004), (-11.836409799999931, 9.04519400000004), (-11.832497999999932, 9.04238480000004), (-11.830537799999933, 9.04098230000004), (-11.827284999999932, 9.03859710000004), (-11.826332599999933, 9.03784970000004), (-11.823834599999934, 9.03612730000004), (-11.820873099999934, 9.03605480000004), (-11.817715799999934, 9.035990300000039), (-11.814117999999935, 9.03586950000004), (-11.810715999999935, 9.03578090000004), (-11.807672899999936, 9.035748600000039), (-11.804572799999937, 9.035651900000039), (-11.800909699999936, 9.03551500000004), (-11.798233799999936, 9.035466600000039), (-11.794937799999936, 9.03545860000004), (-11.791649999999935, 9.035249100000039), (-11.789218799999935, 9.035257100000038), (-11.786371599999935, 9.035152400000038), (-11.783197999999935, 9.035079900000039), (-11.780138599999935, 9.034999300000038), (-11.777087399999935, 9.034886500000038), (-11.773938299999935, 9.034838200000038), (-11.770426299999947, 9.034696800000049), (-11.769107899999936, 9.033941400000039), (-11.765846199999936, 9.033630800000038), (-11.765219099999936, 9.03410440000004), (-11.765060299999924, 9.03423729999994)]",819996228.0,3,50,line,,sierra-leone
1,Way,30.072301120508214,"[(-11.764704799999924, 9.03383529999994), (-11.764504299999924, 9.03401409999994)]",843172013.0,3,50,line,,sierra-leone
2,Way,30.11948469137849,"[(-11.764632299999924, 9.03415939999994), (-11.764831899999924, 9.03397899999994)]",843172014.0,3,50,line,,sierra-leone
3,Way,1130.6985470367647,"[(-13.261728299999954, 8.467556600000021), (-13.260666799999953, 8.468412300000022), (-13.259446599999952, 8.468429400000023), (-13.257671099999952, 8.468733200000022), (-13.256885900000027, 8.469077399999925), (-13.255056399999951, 8.469200700000021), (-13.25244019999995, 8.470795300000022)]",227226174.0,,,line,,sierra-leone
4,Way,42940.10886261388,"[(-12.049016199999995, 8.882724000000001), (-12.048980700000019, 8.882917099999997), (-12.048932600000018, 8.883178599999997), (-12.048897500000018, 8.883369499999997), (-12.04888300000002, 8.883448199999997), (-12.048856000000018, 8.883595099999997), (-12.04860629999999, 8.884952400000016), (-12.04934929999999, 8.887040600000015), (-12.050183399999991, 8.889615100000016), (-12.04907640000001, 8.892998800000125), (-12.04692540000001, 8.895332900000126), (-12.044616500000004, 8.898095400000127), (-12.041044500000003, 8.899135600000127), (-12.038126500000013, 8.89912140000006), (-12.035996300000013, 8.90044720000006), (-12.033749500000013, 8.902172800000061), (-12.031201100000013, 8.903972900000062), (-12.028446800000031, 8.905963500000006), (-12.019792699999988, 8.912188500000003), (-12.016940799999988, 8.914153800000003), (-12.015405600000031, 8.915231800000006), (-12.009649099999988, 8.919273600000002), (-12.006618199999984, 8.9214484), (-12.001748199999989, 8.924864000000003), (-11.998345799999985, 8.9272917), (-11.995271699999986, 8.929465), (-11.992121999999986, 8.931704700000001), (-11.988799999999985, 8.934068900000002), (-11.986419299999985, 8.935758600000002), (-11.983301099999986, 8.937977500000002), (-11.980830099999986, 8.939704500000003), (-11.974925699999986, 8.941873500000003), (-11.972158399999985, 8.942892700000003), (-11.968512799999985, 8.944210700000003), (-11.965472399999985, 8.945319100000003), (-11.961896099999985, 8.946626800000002), (-11.958878799999985, 8.947735200000002), (-11.955880399999986, 8.948829000000002), (-11.952806299999986, 8.949954000000002), (-11.949024199999986, 8.951336400000002), (-11.946382199999986, 8.952296700000003), (-11.943086699999986, 8.953486800000004), (-11.939923199999987, 8.954656300000002), (-11.936485699999986, 8.955923300000004), (-11.933419499999987, 8.957038700000002), (-11.929923799999987, 8.958309500000002), (-11.927476599999986, 8.959172000000004), (-11.925781999999987, 8.960188900000002), (-11.922634299999988, 8.962037200000003), (-11.919646399999987, 8.963778500000004), (-11.917477099999987, 8.965042200000005), (-11.915113799999986, 8.965929800000005), (-11.912489499999985, 8.966931500000005), (-11.909581399999984, 8.968017600000005), (-11.906823099999984, 8.969050300000005), (-11.903511399999985, 8.970322400000004), (-11.900596099999985, 8.971394500000004), (-11.896960699999985, 8.972747000000004), (-11.894062899999986, 8.973845700000004), (-11.890614199999986, 8.975132500000004), (-11.887461199999986, 8.976323100000004), (-11.884005299999986, 8.977620100000003), (-11.880864999999986, 8.978808000000003), (-11.877861099999986, 8.979939300000003), (-11.873952199999984, 8.981417900000004), (-11.871292899999986, 8.982406600000003), (-11.868178399999985, 8.983573100000003), (-11.864697099999985, 8.984874500000002), (-11.861732599999986, 8.985944100000001), (-11.858547899999985, 8.987172300000001), (-11.855550999999986, 8.988309600000001), (-11.852499199999986, 8.9894513), (-11.849185899999986, 8.9907046), (-11.845934999999985, 8.991916800000002), (-11.842788099999986, 8.993108400000004), (-11.839572399999986, 8.994301400000001), (-11.836949599999986, 8.995295100000002), (-11.833315699999986, 8.996677100000001), (-11.830324999999892, 8.99771489999992), (-11.826843099999891, 8.99900859999992), (-11.823692500000007, 9.000203900000018), (-11.819808600000007, 9.001694500000017), (-11.814427699999891, 9.00381579999992), (-11.808610599999891, 9.00590729999992), (-11.805232400000007, 9.007199400000019), (-11.799688299999891, 9.00924709999992), (-11.797478599999891, 9.01009029999992), (-11.794889100000004, 9.012406000000015), (-11.79319879999989, 9.01383589999992), (-11.790444400000004, 9.016260800000014), (-11.78786609999989, 9.01846699999992), (-11.785249900000013, 9.020802800000022), (-11.78264859999989, 9.02316669999992), (-11.779943600000012, 9.025438800000021), (-11.776609600000011, 9.02832080000002), (-11.77402560000001, 9.03067140000002), (-11.77127159999989, 9.033090699999919), (-11.767691900000012, 9.03609790000002), (-11.765393600000012, 9.03809860000002), (-11.76289250000001, 9.040303200000022), (-11.76050640000001, 9.04236370000002), (-11.757740300000009, 9.044797000000019), (-11.75575140000001, 9.04651320000002), (-11.75367740000001, 9.048319600000019), (-11.75163410000001, 9.050069100000018), (-11.740133900000007, 9.060065700000013), (-11.738012700000008, 9.061984500000014), (-11.736058500000007, 9.062924600000013), (-11.733290900000007, 9.064307200000012), (-11.728123100000007, 9.066828300000012), (-11.724767100000035, 9.068144800000034)]",207557050.0,3,50,line,161000,sierra-leone
5,Way,78.65789377485356,"[(-11.765060299999924, 9.03423729999994), (-11.764831899999924, 9.03397899999994), (-11.764704799999924, 9.03383529999994), (-11.764595499999924, 9.033711699999941)]",843172012.0,3,50,line,,sierra-leone
6,Way,164236.50126173656,"[(-13.249218699999991, 8.489901200000016), (-13.24912819999999, 8.489332100000016), (-13.249137900000019, 8.486873799999971), (-13.250723799999985, 8.48311270000004), (-13.25116389999988, 8.482068799999976), (-13.25155539999988, 8.480207699999976), (-13.25223029999988, 8.477739599999977), (-13.251494699999883, 8.47403559999998), (-13.250968599999883, 8.469941699999978), (-13.250899399999998, 8.468817899999994), (-13.250879799999998, 8.468494399999994), (-13.250802399999882, 8.46724259999998), (-13.250371999999883, 8.46490779999998), (-13.249811699999883, 8.46300999999998), (-13.248580699999883, 8.462072999999979), (-13.246330099999883, 8.460384199999979), (-13.245523799999882, 8.459760199999979), (-13.242582099999883, 8.457859499999978), (-13.239725399999882, 8.455996499999978), (-13.236818599999882, 8.454116299999978), (-13.234071599999881, 8.452286599999978), (-13.231274399999881, 8.450444599999974), (-13.228032699999881, 8.448324799999977), (-13.226296400000011, 8.447170400000067), (-13.22505349999988, 8.446317099999975), (-13.21965329999988, 8.442768199999975), (-13.214649599999884, 8.439479799999976), (-13.213613999999884, 8.438818999999976), (-13.211493299999885, 8.437473999999977), (-13.207509099999884, 8.435041499999977), (-13.205661599999884, 8.433998899999978), (-13.202191099999885, 8.431799699999976), (-13.200738399999885, 8.430939999999977), (-13.197623699999886, 8.428995899999977), (-13.193973799999885, 8.426777099999978), (-13.192718799999884, 8.425998399999978), (-13.190850899999885, 8.423972099999977), (-13.189310699999885, 8.422295399999978), (-13.186250299999884, 8.418937399999978), (-13.18382079999998, 8.415803599999979), (-13.179808999999883, 8.410628699999979), (-13.177878199999883, 8.408547999999978), (-13.172114699999883, 8.401635199999978), (-13.169004599999884, 8.398200099999977), (-13.167224299999884, 8.396254899999978), (-13.1664455, 8.395385599999994), (-13.164523999999881, 8.393240699999975), (-13.164370400000001, 8.393078899999995), (-13.162127499999881, 8.390715299999973), (-13.16014629999988, 8.389271999999973), (-13.15749309999988, 8.387415799999975), (-13.155184600000027, 8.385895399999924), (-13.15164199999988, 8.383841899999974), (-13.14900609999988, 8.382351299999973), (-13.14510489999988, 8.380165499999974), (-13.143042499999881, 8.378964399999974), (-13.140806199999881, 8.377721499999975), (-13.139210699999882, 8.376369199999976), (-13.138247800000014, 8.375579600000028), (-13.135073800000027, 8.372839699999924), (-13.131585299999882, 8.369888399999974), (-13.129362099999883, 8.368000599999975), (-13.126351599999882, 8.365425199999974), (-13.124024399999882, 8.363456999999975), (-13.120143399999883, 8.360186999999975), (-13.118119599999883, 8.358406899999975), (-13.114458399999883, 8.355731999999975), (-13.107582899999988, 8.351046000000006), (-13.106718299999883, 8.350463399999974), (-13.102357599999989, 8.347440100000005), (-13.100073399999989, 8.345876100000005), (-13.09521379999999, 8.342559500000005), (-13.09418159999999, 8.341852300000005), (-13.08908829999999, 8.338381800000004), (-13.086587899999989, 8.336627700000005), (-13.08504779999999, 8.335501900000006), (-13.08111299999999, 8.332800200000007), (-13.07832249999999, 8.330868300000008), (-13.075456099999988, 8.328877300000007), (-13.072578099999987, 8.326904500000008), (-13.069755399999988, 8.324961200000008), (-13.067310299999988, 8.323261800000008), (-13.065080199999988, 8.323578900000008), (-13.061665399999988, 8.324071100000008), (-13.058362099999988, 8.324556600000008), (-13.055727999999988, 8.324945000000008), (-13.052295399999988, 8.325435000000008), (-13.048746799999988, 8.325949200000007), (-13.046043499999987, 8.326375100000007), (-13.042561199999987, 8.326881500000008), (-13.039554399999988, 8.327281600000008), (-13.036557899999988, 8.327748100000008), (-13.032937199999987, 8.328297600000008), (-13.029529599999988, 8.328777500000008), (-13.026006899999988, 8.329281900000007), (-13.022603499999988, 8.329774000000008), (-13.019002699999989, 8.330298600000008), (-13.01580069999999, 8.330778500000008), (-13.01232739999999, 8.331291000000007), (-13.00919109999999, 8.331762800000007), (-13.00634669999999, 8.332165400000006), (-13.002651399999989, 8.332714500000007), (-12.999589099999989, 8.333186300000007), (-12.99665419999999, 8.333637700000006), (-12.993813899999989, 8.334020000000006), (-12.991519099999989, 8.336144700000006), (-12.98911089999999, 8.338432000000005), (-12.986887600000165, 8.340485799999854), (-12.961053299999882, 8.364683599999974), (-12.955939099999883, 8.369493599999974), (-12.953611599999881, 8.371668499999974), (-12.95113309999988, 8.373967499999974), (-12.94847479999988, 8.376452499999974), (-12.945378999999994, 8.379351700000008), (-12.94137549999999, 8.383100900000017), (-12.93772320000007, 8.386521199999956), (-12.93365329999988, 8.390332499999973), (-12.930400400000075, 8.393386499999956), (-12.926270900000034, 8.397263200000017), (-12.923668999999883, 8.399704799999977), (-12.921472499999883, 8.401786099999978), (-12.919273799999882, 8.403125299999978), (-12.916063799999883, 8.405061599999978), (-12.912890700000004, 8.40700330000001), (-12.90994940000001, 8.408803000000008), (-12.905579399999883, 8.411476999999978), (-12.896833599999884, 8.416824099999978), (-12.891829499999885, 8.419870399999978), (-12.886202299999885, 8.423323199999977), (-12.883383899999885, 8.425039999999978), (-12.880392499999886, 8.427179399999977), (-12.874677199999885, 8.431264699999977), (-12.872214299999884, 8.432981299999977), (-12.869046799999884, 8.435227199999977), (-12.866505599999885, 8.437063299999977), (-12.863491399999884, 8.439199499999976), (-12.860793599999884, 8.441135499999975), (-12.858004499999883, 8.443074799999975), (-12.855623199999883, 8.444784999999975), (-12.85244909999988, 8.447059899999976), (-12.849858999999881, 8.448876499999976), (-12.846958999999881, 8.450941599999977), (-12.84187169999988, 8.454487899999975), (-12.839354100000035, 8.456303200000034), (-12.835593400000034, 8.458971800000034), (-12.832894800000034, 8.460899100000034), (-12.831091400000165, 8.462165599999855), (-12.827278900000165, 8.464875199999854), (-12.816252500000164, 8.472685099999854), (-12.813020400000035, 8.474979400000034), (-12.810629700000035, 8.476673500000034), (-12.807995100000035, 8.478540400000034), (-12.805363599999879, 8.480454299999991), (-12.80278479999988, 8.482288399999975), (-12.79884009999988, 8.487564899999974), (-12.79708329999988, 8.489902999999973), (-12.795145699999999, 8.492481500000011), (-12.792886300000006, 8.495454899999999), (-12.790998000000007, 8.497992299999998), (-12.78923369999988, 8.500348799999973), (-12.785076200000008, 8.505958399999999), (-12.783078299999879, 8.508658699999973), (-12.780850100000007, 8.5115305), (-12.778967900000007, 8.514095699999999), (-12.776609800000006, 8.517183099999999), (-12.77470299999988, 8.519684899999977), (-12.772803200000164, 8.522240299999854), (-12.770338300000164, 8.525593599999855), (-12.76788609999988, 8.528826399999977), (-12.75841539999988, 8.541538999999974), (-12.75421679999988, 8.547158999999974), (-12.75015960000001, 8.552555700000067), (-12.74620090000001, 8.557870600000067), (-12.73953809999988, 8.566794799999972), (-12.73161379999988, 8.577320799999972), (-12.725773999999884, 8.585143299999974), (-12.723087399999887, 8.588779199999975), (-12.720202099999886, 8.592631799999975), (-12.713728099999885, 8.601202999999975), (-12.7123285, 8.603088700000011), (-12.7102888, 8.605774800000011), (-12.708084199999885, 8.608704099999976), (-12.706077799999884, 8.611404099999977), (-12.702979499999884, 8.612770599999976), (-12.699693399999884, 8.614259599999976), (-12.686853199999884, 8.620200599999976), (-12.684179199999884, 8.621440799999975), (-12.680237699999878, 8.623227799999992), (-12.676033899999984, 8.62516920000001), (-12.672759199999984, 8.62666170000001), (-12.669564099999985, 8.62812920000001), (-12.666851199999984, 8.629414300000011), (-12.659228299999985, 8.632851000000011), (-12.656458499999985, 8.634116600000011), (-12.653152599999984, 8.635632100000011), (-12.644115499999984, 8.639802300000012), (-12.641060899999983, 8.641188900000012), (-12.637701399999983, 8.642714400000012), (-12.631318299999982, 8.645635700000012), (-12.621354199999983, 8.650220500000012), (-12.614711999999983, 8.653236200000013), (-12.608106499999984, 8.656260400000013), (-12.604998499999985, 8.657689300000014), (-12.602404999999985, 8.658881600000013), (-12.598676999999984, 8.660546000000013), (-12.588906499999984, 8.665078300000012), (-12.579092899999985, 8.669549500000011), (-12.576138099999985, 8.67088530000001), (-12.572689299999986, 8.672495700000011), (-12.569487499999987, 8.673939600000011), (-12.565742699999987, 8.676445400000011), (-12.562690599999987, 8.67841720000001), (-12.559839999999987, 8.68029580000001), (-12.556652799999988, 8.68240660000001), (-12.554302499999988, 8.68395250000001), (-12.551082799999987, 8.68608100000001), (-12.548391199999987, 8.68786580000001), (-12.546472200000007, 8.689099000000011), (-12.545376199999987, 8.68981720000001), (-12.542100099999987, 8.691348200000009), (-12.539044199999987, 8.692815600000008), (-12.533350499999987, 8.69487140000001), (-12.530143499999987, 8.69620240000001), (-12.527205099999987, 8.697484200000009), (-12.524021199999988, 8.69948360000001), (-12.521140899999988, 8.70129730000001), (-12.518096599999987, 8.703208600000009), (-12.508077699999996, 8.712490700000018), (-12.504232199999995, 8.717840500000017), (-12.500061099999995, 8.723733200000018), (-12.495992099999995, 8.729454700000018), (-12.491718799999996, 8.735417800000018), (-12.483071399999996, 8.747685300000018), (-12.481199499999997, 8.750219200000018), (-12.478172399999988, 8.751957700000004), (-12.475311999999988, 8.753488900000004), (-12.472306299999989, 8.755099600000005), (-12.46959119999999, 8.756569700000005), (-12.46739639999999, 8.757713700000005), (-12.460193699999989, 8.761624700000006), (-12.457272299999989, 8.763156800000006), (-12.454713399999967, 8.764549799999983), (-12.450953199999988, 8.766596800000006), (-12.445154399999987, 8.769734600000005), (-12.441800199999987, 8.771562800000005), (-12.438787899999987, 8.773181000000005), (-12.429276199999988, 8.778289600000004), (-12.423207899999987, 8.781562400000004), (-12.420365399999987, 8.783118300000003), (-12.416836199999988, 8.785037200000003), (-12.413363899999988, 8.786891300000002), (-12.410446999999987, 8.788468700000003), (-12.407079699999986, 8.790283900000002), (-12.404551999999986, 8.791606400000003), (-12.401512599999986, 8.792743000000003), (-12.398335299999985, 8.793997300000003), (-12.395505899999986, 8.795018000000002), (-12.392503199999986, 8.796133400000002), (-12.388894499999987, 8.797520800000003), (-12.385669299999988, 8.798694200000003), (-12.382135899999987, 8.800000100000004), (-12.378609499999987, 8.801291700000004), (-12.374750199999987, 8.802744400000003), (-12.373017599999987, 8.803391000000003), (-12.369226499999986, 8.804798100000003), (-12.365821999999985, 8.806062200000003), (-12.362662399999985, 8.807244100000004), (-12.360016599999986, 8.808257500000003), (-12.358160199999986, 8.808912300000003), (-12.355829499999986, 8.809784100000003), (-12.352564099999986, 8.810986600000003), (-12.349034499999986, 8.812290000000003), (-12.346599299999985, 8.813180700000002), (-12.343129799999986, 8.813578000000001), (-12.339796299999986, 8.813981400000001), (-12.336040699999986, 8.814384700000002), (-12.333051999999986, 8.814704), (-12.329132499999986, 8.815167), (-12.326143799999986, 8.815472600000001), (-12.322510299999987, 8.815865200000001), (-12.317247199999986, 8.816429000000001), (-12.315269699999986, 8.816667400000002), (-12.312130999999987, 8.816988200000003), (-12.308868599999986, 8.817332000000002), (-12.305317099999986, 8.817755200000002), (-12.302184599999986, 8.818092900000002), (-12.298518699999986, 8.818503900000001), (-12.295098599999987, 8.818862900000001), (-12.291882599999987, 8.8192403), (-12.286990599999987, 8.8197735), (-12.283326199999987, 8.820192200000001), (-12.276119599999987, 8.820957600000002), (-12.272676399999987, 8.821350300000002), (-12.269034000000001, 8.8217589), (-12.265717400000002, 8.8221281), (-12.262346100000002, 8.822483700000001), (-12.258656000000002, 8.822906900000001), (-12.255120700000003, 8.823289500000001), (-12.251457900000002, 8.8236947), (-12.247881700000002, 8.824090900000002), (-12.244237100000003, 8.824514000000002), (-12.240947800000002, 8.824869700000002), (-12.237193900000003, 8.825265800000002), (-12.233763400000003, 8.825653000000003), (-12.229986700000003, 8.826058200000002), (-12.226538000000003, 8.826440800000002), (-12.224801900000003, 8.826614200000002), (-12.219699800000003, 8.827206100000001), (-12.216128100000002, 8.827557300000002), (-12.212506300000003, 8.827980400000003), (-12.208916400000003, 8.828385600000002), (-12.205690900000004, 8.828736700000002), (-12.201727400000003, 8.829173400000002), (-12.198356200000003, 8.829538000000001), (-12.194506600000002, 8.829961200000001), (-12.188481200000002, 8.833285000000002), (-12.185362900000001, 8.835003900000002), (-12.1826827, 8.836506300000002), (-12.1791972, 8.838435300000002), (-12.1756408, 8.840396100000003), (-12.17382400000001, 8.841396199999995), (-12.1724258, 8.842165900000003), (-12.1695459, 8.843776600000004), (-12.166607999999998, 8.845368100000004), (-12.163734499999999, 8.846997900000003), (-12.160635499999998, 8.848691300000004), (-12.157684699999997, 8.850301900000003), (-12.154540599999997, 8.852065300000003), (-12.151557599999997, 8.853726800000002), (-12.148529499999997, 8.855382000000002), (-12.145449799999996, 8.857100800000003), (-12.142441099999996, 8.858743200000003), (-12.139258299999996, 8.860506600000003), (-12.136081999999996, 8.862257200000002), (-12.133260099999996, 8.863816800000002), (-12.130818299999996, 8.865465600000002), (-12.128782299999996, 8.866840600000002), (-12.125912599999959, 8.868929300000074), (-12.120219899999995, 8.873072700000002), (-12.111483399999996, 8.877032100000001), (-12.106193899999996, 8.879349200000002), (-12.102553699999996, 8.880972400000001), (-12.100021699999996, 8.882143600000001), (-12.096323599999995, 8.8837796), (-12.092625399999994, 8.885472800000002), (-12.089726099999995, 8.886796800000003), (-12.086246999999995, 8.888178100000003), (-12.083018299999994, 8.889719300000003), (-12.080268099999994, 8.888992900000003), (-12.07710440000001, 8.888226000000126), (-12.074231199999995, 8.887452500000002), (-12.07118700000001, 8.886729400000126), (-12.068204299999994, 8.885991100000002), (-12.064038699999994, 8.884969900000002), (-12.062015699999995, 8.884428900000001), (-12.057144700000011, 8.884051700000127), (-12.054960799999995, 8.8838623), (-12.052189299999995, 8.883600300000001), (-12.049016199999995, 8.882724000000001)]",176753981.0,3,50,line,161000,sierra-leone
7,Way,459.9894427142421,"[(-11.764595499999924, 9.033711699999941), (-11.764743199999923, 9.033580099999941), (-11.765416599999947, 9.032964100000049), (-11.766983199999924, 9.03041959999994)]",843172011.0,3,50,line,,sierra-leone
8,Way,13903.06701334325,"[(-12.224801900000003, 8.826614200000002), (-12.22465280000006, 8.825709299999982), (-12.22428480000006, 8.823205299999982), (-12.22378050000006, 8.819626199999982), (-12.22328540000006, 8.816437299999983), (-12.22285160000006, 8.813195599999982), (-12.22234900000006, 8.809852099999983), (-12.22187470000006, 8.806543499999982), (-12.22131550000006, 8.802549399999982), (-12.22082010000006, 8.799422599999982), (-12.22040240000006, 8.796484599999982), (-12.21992110000006, 8.79364459999998), (-12.21962380000006, 8.790881499999982), (-12.219043400000059, 8.787076099999982), (-12.218540800000058, 8.783746299999983), (-12.218066600000059, 8.780402499999983), (-12.21766310000006, 8.777289499999982), (-12.21709680000006, 8.773931599999983), (-12.21670750000006, 8.770587699999982), (-12.216134200000061, 8.766963999999982), (-12.215652800000061, 8.763605999999982), (-12.215207800000062, 8.76081449999998), (-12.214778600000063, 8.75760149999998), (-12.214279700000063, 8.754346199999981), (-12.216656200000063, 8.75121269999998), (-12.218807300000064, 8.74834429999998), (-12.220856500000064, 8.74562969999998), (-12.223903500000064, 8.743948999999981), (-12.227143600000064, 8.74218869999998), (-12.229815100000064, 8.74070409999998), (-12.232513400000064, 8.739224799999981), (-12.232787000000064, 8.73648359999998), (-12.233076700000064, 8.73377939999998), (-12.233420000000065, 8.73067759999998), (-12.233623800000064, 8.72762879999998), (-12.234063700000064, 8.72443679999998), (-12.234428500000064, 8.72119179999998), (-12.234734300000063, 8.71792019999998), (-12.233098100000063, 8.715252999999981), (-12.233607700000064, 8.713969799999981), (-12.233902800000065, 8.71364109999998)]",935409114.0,,,line,,sierra-leone
